YearMonth,Last Updated,Business Segment,Company,Responsible Person,Risk
2002,01.07.2020,Startup,Flipbug,Shoshanna Dickins,High
2005,08.04.2020,Mid size,Viva,Mellisa Barth,Medium
2000,29.06.2020,Corporate,Thoughtbeat,Brit Jindrich,High
1996,13.05.2020,Startup,Twiyo,Marilin MacAlpyne,Low
2002,21.05.2020,Startup,Skipstorm,Karalee Sheards,Low
2004,16.10.2020,Corporate,Kaymbo,Allison Evett,High
1998,10.07.2020,Mid size,Yodo,Pattie Orniz,High
1989,07.04.2020,Corporate,Feednation,Tyne Geerits,Low
2005,15.04.2020,Mid size,Agivu,Grantham Antushev,High
2007,18.06.2020,Corporate,Jaxworks,Marisa Fitchet,Medium
2008,18.06.2020,Mid size,Ntags,Sheilakathryn Dainton,Medium
2011,03.09.2020,Corporate,Livefish,Gerek Saltwell,High
1994,02.04.2020,Startup,Yata,Annadiane Pascho,Medium
1993,13.09.2020,Corporate,Mydeo,Les Bucknill,High
2004,30.03.2020,Startup,Mynte,Rabi Ost,Low
1996,08.06.2020,Startup,Skidoo,Julita Spurret,Low
1990,12.08.2020,Corporate,Youspan,Gian Read,Low
2004,28.03.2020,Startup,Photobean,Alberta Simenot,High
1999,08.08.2020,Mid size,Youbridge,Sancho Haskur,High
2010,29.07.2020,Mid size,Realbuzz,Mayer Baine,Low
2007,12.04.2020,Startup,Jaxnation,Selma Jaffra,Medium
2006,10.10.2020,Corporate,Dabshots,Zola Heggie,Medium
2008,24.07.2020,Mid size,Linklinks,Edee Braidford,High
1994,04.11.2020,Corporate,Dabshots,Wiatt Bielby,High
1998,20.05.2020,Startup,Fivespan,Alexandr Topaz,High
2009,12.11.2020,Corporate,Skivee,Cortney Gravie,High
2003,18.05.2020,Corporate,Yabox,Hermann Bonar,Low
1990,23.05.2020,Corporate,Zooveo,Ram Fitzroy,Low
1995,05.06.2020,Corporate,Einti,Galven Devita,High
2010,01.05.2020,Startup,Dabtype,Delphinia Dibbin,Low
1989,09.11.2020,Mid size,Yodel,Constantine Dunbar,Medium
1990,10.04.2020,Startup,Eidel,Lola Treagus,Medium
1995,03.04.2020,Startup,Jatri,Michelle Johananov,Low
2005,16.10.2020,Mid size,Jazzy,Yulma Muscroft,Low
1999,26.07.2020,Corporate,Photojam,Guthrie Jurczak,Medium
2012,14.10.2020,Mid size,Avavee,Kirby Pestell,Medium
2001,29.03.2020,Startup,Nlounge,Judie Sterre,Low
2001,12.08.2020,Corporate,Fivespan,Retha Revington,High
1992,18.04.2020,Startup,Dablist,Andie Springthorpe,Low
2006,02.04.2020,Corporate,Oyonder,Sheridan Morgen,High
1993,02.09.2020,Corporate,Pixope,Normie Lanphier,Medium
2007,18.06.2020,Corporate,Blogtag,Trey Gratten,Medium
2010,02.04.2020,Mid size,Photobug,Brett Beades,High
2004,30.05.2020,Mid size,Skajo,Blaine Elfleet,Medium
1970,03.03.2020,Corporate,Realcube,Camile Rown,High
2002,30.11.2020,Corporate,Shufflester,Rustie Shoreson,High
2003,16.08.2020,Mid size,Twinte,Onfroi Eckly,High
2013,22.10.2020,Startup,Skalith,Britney Crenshaw,Low
1983,28.10.2020,Mid size,Browsezoom,Sibyl McCrossan,Low
2012,06.10.2020,Startup,Livetube,Shaughn Canedo,High
2009,01.06.2020,Mid size,Eadel,Alena Michie,Low
